ConcatUF+Mun;IBGE;IBGE7;UF;Município;Região;População 2010;Porte;Capital;
RJNova Friburgo;330340;3303401;RJ;Nova Friburgo;Região Sudeste;182082;Grande;;
RJNova Iguaçu;330350;3303500;RJ;Nova Iguaçu;Região Sudeste;796257;Grande;;
RJParacambi;330360;3303609;RJ;Paracambi;Região Sudeste;47124;Pequeno II;;
RJParaíba do Sul;330370;3303708;RJ;Paraíba do Sul;Região Sudeste;41084;Pequeno II;;
RJParati;330380;3303807;RJ;Parati;Região Sudeste;37533;Pequeno II;;
RJPaty do Alferes;330385;3303856;RJ;Paty do Alferes;Região Sudeste;26359;Pequeno II;;
RJPetrópolis;330390;3303906;RJ;Petrópolis;Região Sudeste;295917;Grande;;
RJPinheiral;330395;3303955;RJ;Pinheiral;Região Sudeste;22719;Pequeno II;;
RJPiraí;330400;3304003;RJ;Piraí;Região Sudeste;26314;Pequeno II;;
RJPorciúncula;330410;3304102;RJ;Porciúncula;Região Sudeste;17760;Pequeno I;;
RJPorto Real;330411;3304110;RJ;Porto Real;Região Sudeste;16592;Pequeno I;;
RJQuatis;330412;3304128;RJ;Quatis;Região Sudeste;12793;Pequeno I;;
RJQueimados;330414;3304144;RJ;Queimados;Região Sudeste;137962;Grande;;
RJQuissamã;330415;3304151;RJ;Quissamã;Região Sudeste;20242;Pequeno II;;
RJResende;330420;3304201;RJ;Resende;Região Sudeste;119769;Grande;;
RJRio Bonito;330430;3304300;RJ;Rio Bonito;Região Sudeste;55551;Médio;;
RJRio Claro;330440;3304409;RJ;Rio Claro;Região Sudeste;17425;Pequeno I;;
RJRio Das Flores;330450;3304508;RJ;Rio Das Flores;Região Sudeste;8561;Pequeno I;;
RJRio Das Ostras;330452;3304524;RJ;Rio Das Ostras;Região Sudeste;105676;Grande;;
RJRio de Janeiro;330455;3304557;RJ;Rio de Janeiro;Região Sudeste;6320446;Metrópole;Capital;
RJSanta Maria Madalena;330460;3304607;RJ;Santa Maria Madalena;Região Sudeste;10321;Pequeno I;;
RJSanto Antônio de Pádua;330470;3304706;RJ;Santo Antônio de Pádua;Região Sudeste;40589;Pequeno II;;
RJSão Francisco de Itabapoana;330475;3304755;RJ;São Francisco de Itabapoana;Região Sudeste;41354;Pequeno II;;
RJSão Fidélis;330480;3304805;RJ;São Fidélis;Região Sudeste;37543;Pequeno II;;
RJSão Gonçalo;330490;3304904;RJ;São Gonçalo;Região Sudeste;999728;Metrópole;;
RJSão João da Barra;330500;3305000;RJ;São João da Barra;Região Sudeste;32747;Pequeno II;;
RJSão João de Meriti;330510;3305109;RJ;São João de Meriti;Região Sudeste;458673;Grande;;
RJSão José de Ubá;330513;3305133;RJ;São José de Ubá;Região Sudeste;7003;Pequeno I;;
RJSão José do Vale do Rio Preto;330515;3305158;RJ;São José do Vale do Rio Preto;Região Sudeste;20251;Pequeno II;;
RJSão Pedro da Aldeia;330520;3305208;RJ;São Pedro da Aldeia;Região Sudeste;87875;Médio;;
RJSão Sebastião do Alto;330530;3305307;RJ;São Sebastião do Alto;Região Sudeste;8895;Pequeno I;;
RJSapucaia;330540;3305406;RJ;Sapucaia;Região Sudeste;17525;Pequeno I;;
RJSaquarema;330550;3305505;RJ;Saquarema;Região Sudeste;74234;Médio;;
RJSeropédica;330555;3305554;RJ;Seropédica;Região Sudeste;78186;Médio;;
RJSilva Jardim;330560;3305604;RJ;Silva Jardim;Região Sudeste;21349;Pequeno II;;
RJSumidouro;330570;3305703;RJ;Sumidouro;Região Sudeste;14900;Pequeno I;;
RJTanguá;330575;3305752;RJ;Tanguá;Região Sudeste;30732;Pequeno II;;
RJTeresópolis;330580;3305802;RJ;Teresópolis;Região Sudeste;163746;Grande;;
RJTrajano de Morais;330590;3305901;RJ;Trajano de Morais;Região Sudeste;10289;Pequeno I;;
RJTrês Rios;330600;3306008;RJ;Três Rios;Região Sudeste;77432;Médio;;
RJValença;330610;3306107;RJ;Valença;Região Sudeste;71843;Médio;;
RJVarre-sai;330615;3306156;RJ;Varre-sai;Região Sudeste;9475;Pequeno I;;
RJVassouras;330620;3306206;RJ;Vassouras;Região Sudeste;34410;Pequeno II;;
RJVolta Redonda;330630;3306305;RJ;Volta Redonda;Região Sudeste;257803;Grande;;
SPAdamantina;350010;3500105;SP;Adamantina;Região Sudeste;33797;Pequeno II;;
SPAdolfo;350020;3500204;SP;Adolfo;Região Sudeste;3557;Pequeno I;;
SPAguaí;350030;3500303;SP;Aguaí;Região Sudeste;32148;Pequeno II;;
SPÁguas da Prata;350040;3500402;SP;Águas da Prata;Região Sudeste;7584;Pequeno I;;
SPÁguas de Lindóia;350050;3500501;SP;Águas de Lindóia;Região Sudeste;17266;Pequeno I;;
SPÁguas de Santa Bárbara;350055;3500550;SP;Águas de Santa Bárbara;Região Sudeste;5601;Pequeno I;;
SPÁguas de São Pedro;350060;3500600;SP;Águas de São Pedro;Região Sudeste;2707;Pequeno I;;
SPAgudos;350070;3500709;SP;Agudos;Região Sudeste;34524;Pequeno II;;
SPAlambari;350075;3500758;SP;Alambari;Região Sudeste;4884;Pequeno I;;
SPAlfredo Marcondes;350080;3500808;SP;Alfredo Marcondes;Região Sudeste;3891;Pequeno I;;
SPAltair;350090;3500907;SP;Altair;Região Sudeste;3815;Pequeno I;;
SPAltinópolis;350100;3501004;SP;Altinópolis;Região Sudeste;15607;Pequeno I;;
SPAlto Alegre;350110;3501103;SP;Alto Alegre;Região Sudeste;4102;Pequeno I;;
SPAlumínio;350115;3501152;SP;Alumínio;Região Sudeste;16839;Pequeno I;;
SPÁlvares Florence;350120;3501202;SP;Álvares Florence;Região Sudeste;3897;Pequeno I;;
SPÁlvares Machado;350130;3501301;SP;Álvares Machado;Região Sudeste;23513;Pequeno II;;
SPÁlvaro de Carvalho;350140;3501400;SP;Álvaro de Carvalho;Região Sudeste;4650;Pequeno I;;
SPAlvinlândia;350150;3501509;SP;Alvinlândia;Região Sudeste;3000;Pequeno I;;
SPAmericana;350160;3501608;SP;Americana;Região Sudeste;210638;Grande;;
SPAmérico Brasiliense;350170;3501707;SP;Américo Brasiliense;Região Sudeste;34478;Pequeno II;;
SPAmérico de Campos;350180;3501806;SP;Américo de Campos;Região Sudeste;5706;Pequeno I;;
SPAmparo;350190;3501905;SP;Amparo;Região Sudeste;65829;Médio;;
SPAnalândia;350200;3502002;SP;Analândia;Região Sudeste;4293;Pequeno I;;
SPAndradina;350210;3502101;SP;Andradina;Região Sudeste;55334;Médio;;
SPAngatuba;350220;3502200;SP;Angatuba;Região Sudeste;22210;Pequeno II;;
SPAnhembi;350230;3502309;SP;Anhembi;Região Sudeste;5653;Pequeno I;;
SPAnhumas;350240;3502408;SP;Anhumas;Região Sudeste;3738;Pequeno I;;
SPAparecida;350250;3502507;SP;Aparecida;Região Sudeste;35007;Pequeno II;;
SPAparecida D'oeste;350260;3502606;SP;Aparecida D´oeste;Região Sudeste;4450;Pequeno I;;
SPApiaí;350270;3502705;SP;Apiaí;Região Sudeste;25191;Pequeno II;;
SPAraçariguama;350275;3502754;SP;Araçariguama;Região Sudeste;17080;Pequeno I;;
SPAraçatuba;350280;3502804;SP;Araçatuba;Região Sudeste;181579;Grande;;
SPAraçoiaba da Serra;350290;3502903;SP;Araçoiaba da Serra;Região Sudeste;27299;Pequeno II;;
SPAramina;350300;3503000;SP;Aramina;Região Sudeste;5152;Pequeno I;;
SPArandu;350310;3503109;SP;Arandu;Região Sudeste;6123;Pequeno I;;
SPArapeí;350315;3503158;SP;Arapeí;Região Sudeste;2493;Pequeno I;;
SPAraraquara;350320;3503208;SP;Araraquara;Região Sudeste;208662;Grande;;
SPAraras;350330;3503307;SP;Araras;Região Sudeste;118843;Grande;;
SPArco-íris;350335;3503356;SP;Arco-íris;Região Sudeste;1925;Pequeno I;;
SPArealva;350340;3503406;SP;Arealva;Região Sudeste;7841;Pequeno I;;
SPAreias;350350;3503505;SP;Areias;Região Sudeste;3696;Pequeno I;;
SPAreiópolis;350360;3503604;SP;Areiópolis;Região Sudeste;10579;Pequeno I;;
SPAriranha;350370;3503703;SP;Ariranha;Região Sudeste;8547;Pequeno I;;
SPArtur Nogueira;350380;3503802;SP;Artur Nogueira;Região Sudeste;44177;Pequeno II;;
SPArujá;350390;3503901;SP;Arujá;Região Sudeste;74905;Médio;;
SPAspásia;350395;3503950;SP;Aspásia;Região Sudeste;1809;Pequeno I;;
SPAssis;350400;3504008;SP;Assis;Região Sudeste;95144;Médio;;
SPAtibaia;350410;3504107;SP;Atibaia;Região Sudeste;126603;Grande;;
SPAuriflama;350420;3504206;SP;Auriflama;Região Sudeste;14202;Pequeno I;;
SPAvaí;350430;3504305;SP;Avaí;Região Sudeste;4959;Pequeno I;;
SPAvanhandava;350440;3504404;SP;Avanhandava;Região Sudeste;11310;Pequeno I;;
SPAvaré;350450;3504503;SP;Avaré;Região Sudeste;82934;Médio;;
SPBady Bassitt;350460;3504602;SP;Bady Bassitt;Região Sudeste;14603;Pequeno I;;
SPBalbinos;350470;3504701;SP;Balbinos;Região Sudeste;3702;Pequeno I;;
SPBálsamo;350480;3504800;SP;Bálsamo;Região Sudeste;8160;Pequeno I;;
SPBananal;350490;3504909;SP;Bananal;Região Sudeste;10223;Pequeno I;;
SPBarão de Antonina;350500;3505005;SP;Barão de Antonina;Região Sudeste;3116;Pequeno I;;
SPBarbosa;350510;3505104;SP;Barbosa;Região Sudeste;6593;Pequeno I;;
SPBariri;350520;3505203;SP;Bariri;Região Sudeste;31593;Pequeno II;;
SPBarra Bonita;350530;3505302;SP;Barra Bonita;Região Sudeste;35246;Pequeno II;;
SPBarra do Chapéu;350535;3505351;SP;Barra do Chapéu;Região Sudeste;5244;Pequeno I;;
SPBarra do Turvo;350540;3505401;SP;Barra do Turvo;Região Sudeste;7729;Pequeno I;;
SPBarretos;350550;3505500;SP;Barretos;Região Sudeste;112101;Grande;;
SPBarrinha;350560;3505609;SP;Barrinha;Região Sudeste;28496;Pequeno II;;
SPBarueri;350570;3505708;SP;Barueri;Região Sudeste;240749;Grande;;
SPBastos;350580;3505807;SP;Bastos;Região Sudeste;20445;Pequeno II;;
SPBatatais;350590;3505906;SP;Batatais;Região Sudeste;56476;Médio;;
SPBauru;350600;3506003;SP;Bauru;Região Sudeste;343937;Grande;;
SPBebedouro;350610;3506102;SP;Bebedouro;Região Sudeste;75035;Médio;;
SPBento de Abreu;350620;3506201;SP;Bento de Abreu;Região Sudeste;2674;Pequeno I;;
SPBernardino de Campos;350630;3506300;SP;Bernardino de Campos;Região Sudeste;10775;Pequeno I;;
SPBertioga;350635;3506359;SP;Bertioga;Região Sudeste;47645;Pequeno II;;
SPBilac;350640;3506409;SP;Bilac;Região Sudeste;7048;Pequeno I;;
SPBirigui;350650;3506508;SP;Birigui;Região Sudeste;108728;Grande;;
SPBiritiba-mirim;350660;3506607;SP;Biritiba-mirim;Região Sudeste;28575;Pequeno II;;
SPBoa Esperança do Sul;350670;3506706;SP;Boa Esperança do Sul;Região Sudeste;13645;Pequeno I;;
SPBocaina;350680;3506805;SP;Bocaina;Região Sudeste;10859;Pequeno I;;
SPBofete;350690;3506904;SP;Bofete;Região Sudeste;9618;Pequeno I;;
SPBoituva;350700;3507001;SP;Boituva;Região Sudeste;48314;Pequeno II;;
SPBom Jesus Dos Perdões;350710;3507100;SP;Bom Jesus Dos Perdões;Região Sudeste;19708;Pequeno I;;
SPBom Sucesso de Itararé;350715;3507159;SP;Bom Sucesso de Itararé;Região Sudeste;3571;Pequeno I;;
SPBorá;350720;3507209;SP;Borá;Região Sudeste;805;Pequeno I;;
SPBoracéia;350730;3507308;SP;Boracéia;Região Sudeste;4268;Pequeno I;;
SPBorborema;350740;3507407;SP;Borborema;Região Sudeste;14529;Pequeno I;;
SPBorebi;350745;3507456;SP;Borebi;Região Sudeste;2293;Pequeno I;;
SPBotucatu;350750;3507506;SP;Botucatu;Região Sudeste;127328;Grande;;
SPBragança Paulista;350760;3507605;SP;Bragança Paulista;Região Sudeste;146744;Grande;;
SPBraúna;350770;3507704;SP;Braúna;Região Sudeste;5021;Pequeno I;;
SPBrejo Alegre;350775;3507753;SP;Brejo Alegre;Região Sudeste;2573;Pequeno I;;
SPBrodowski;350780;3507803;SP;Brodowski;Região Sudeste;21107;Pequeno II;;
SPBrotas;350790;3507902;SP;Brotas;Região Sudeste;21580;Pequeno II;;
SPBuri;350800;3508009;SP;Buri;Região Sudeste;18563;Pequeno I;;
SPBuritama;350810;3508108;SP;Buritama;Região Sudeste;15418;Pequeno I;;
SPBuritizal;350820;3508207;SP;Buritizal;Região Sudeste;4053;Pequeno I;;
SPCabrália Paulista;350830;3508306;SP;Cabrália Paulista;Região Sudeste;4365;Pequeno I;;
SPCabreúva;350840;3508405;SP;Cabreúva;Região Sudeste;41604;Pequeno II;;
SPCaçapava;350850;3508504;SP;Caçapava;Região Sudeste;84752;Médio;;
SPCachoeira Paulista;350860;3508603;SP;Cachoeira Paulista;Região Sudeste;30091;Pequeno II;;
SPCaconde;350870;3508702;SP;Caconde;Região Sudeste;18538;Pequeno I;;
SPCafelândia;350880;3508801;SP;Cafelândia;Região Sudeste;16607;Pequeno I;;
SPCaiabu;350890;3508900;SP;Caiabu;Região Sudeste;4072;Pequeno I;;
SPCaieiras;350900;3509007;SP;Caieiras;Região Sudeste;86529;Médio;;
SPCaiuá;350910;3509106;SP;Caiuá;Região Sudeste;5039;Pequeno I;;
SPCajamar;350920;3509205;SP;Cajamar;Região Sudeste;64114;Médio;;
SPCajati;350925;3509254;SP;Cajati;Região Sudeste;28372;Pequeno II;;
SPCajobi;350930;3509304;SP;Cajobi;Região Sudeste;9768;Pequeno I;;
SPCajuru;350940;3509403;SP;Cajuru;Região Sudeste;23371;Pequeno II;;
SPCampina do Monte Alegre;350945;3509452;SP;Campina do Monte Alegre;Região Sudeste;5567;Pequeno I;;
SPCampinas;350950;3509502;SP;Campinas;Região Sudeste;1080113;Metrópole;;
SPCampo Limpo Paulista;350960;3509601;SP;Campo Limpo Paulista;Região Sudeste;74074;Médio;;
SPCampos do Jordão;350970;3509700;SP;Campos do Jordão;Região Sudeste;47789;Pequeno II;;
SPCampos Novos Paulista;350980;3509809;SP;Campos Novos Paulista;Região Sudeste;4539;Pequeno I;;
SPCananéia;350990;3509908;SP;Cananéia;Região Sudeste;12226;Pequeno I;;
SPCanas;350995;3509957;SP;Canas;Região Sudeste;4385;Pequeno I;;
SPCândido Mota;351000;3510005;SP;Cândido Mota;Região Sudeste;29884;Pequeno II;;
SPCândido Rodrigues;351010;3510104;SP;Cândido Rodrigues;Região Sudeste;2668;Pequeno I;;
SPCanitar;351015;3510153;SP;Canitar;Região Sudeste;4369;Pequeno I;;
SPCapão Bonito;351020;3510203;SP;Capão Bonito;Região Sudeste;46178;Pequeno II;;
SPCapela do Alto;351030;3510302;SP;Capela do Alto;Região Sudeste;17532;Pequeno I;;
SPCapivari;351040;3510401;SP;Capivari;Região Sudeste;48576;Pequeno II;;
SPCaraguatatuba;351050;3510500;SP;Caraguatatuba;Região Sudeste;100840;Grande;;
SPCarapicuíba;351060;3510609;SP;Carapicuíba;Região Sudeste;369584;Grande;;
SPCardoso;351070;3510708;SP;Cardoso;Região Sudeste;11805;Pequeno I;;
SPCasa Branca;351080;3510807;SP;Casa Branca;Região Sudeste;28307;Pequeno II;;
SPCássia Dos Coqueiros;351090;3510906;SP;Cássia Dos Coqueiros;Região Sudeste;2634;Pequeno I;;
SPCastilho;351100;3511003;SP;Castilho;Região Sudeste;18003;Pequeno I;;
SPCatanduva;351110;3511102;SP;Catanduva;Região Sudeste;112820;Grande;;
SPCatiguá;351120;3511201;SP;Catiguá;Região Sudeste;7127;Pequeno I;;
SPCedral;351130;3511300;SP;Cedral;Região Sudeste;7972;Pequeno I;;
SPCerqueira César;351140;3511409;SP;Cerqueira César;Região Sudeste;17532;Pequeno I;;
SPCerquilho;351150;3511508;SP;Cerquilho;Região Sudeste;39617;Pequeno II;;
SPCesário Lange;351160;3511607;SP;Cesário Lange;Região Sudeste;15540;Pequeno I;;
SPCharqueada;351170;3511706;SP;Charqueada;Região Sudeste;15085;Pequeno I;;
SPClementina;351190;3511904;SP;Clementina;Região Sudeste;7065;Pequeno I;;
SPColina;351200;3512001;SP;Colina;Região Sudeste;17371;Pequeno I;;
SPColômbia;351210;3512100;SP;Colômbia;Região Sudeste;5994;Pequeno I;;
SPConchal;351220;3512209;SP;Conchal;Região Sudeste;25229;Pequeno II;;
SPConchas;351230;3512308;SP;Conchas;Região Sudeste;16288;Pequeno I;;
SPCordeirópolis;351240;3512407;SP;Cordeirópolis;Região Sudeste;21080;Pequeno II;;
SPCoroados;351250;3512506;SP;Coroados;Região Sudeste;5238;Pequeno I;;
SPCoronel Macedo;351260;3512605;SP;Coronel Macedo;Região Sudeste;5001;Pequeno I;;
SPCorumbataí;351270;3512704;SP;Corumbataí;Região Sudeste;3874;Pequeno I;;
SPCosmópolis;351280;3512803;SP;Cosmópolis;Região Sudeste;58827;Médio;;
SPCosmorama;351290;3512902;SP;Cosmorama;Região Sudeste;7214;Pequeno I;;
SPCotia;351300;3513009;SP;Cotia;Região Sudeste;201150;Grande;;
SPCravinhos;351310;3513108;SP;Cravinhos;Região Sudeste;31691;Pequeno II;;
SPCristais Paulista;351320;3513207;SP;Cristais Paulista;Região Sudeste;7588;Pequeno I;;
SPCruzália;351330;3513306;SP;Cruzália;Região Sudeste;2274;Pequeno I;;
SPCruzeiro;351340;3513405;SP;Cruzeiro;Região Sudeste;77039;Médio;;
SPCubatão;351350;3513504;SP;Cubatão;Região Sudeste;118720;Grande;;
SPCunha;351360;3513603;SP;Cunha;Região Sudeste;21866;Pequeno II;;
SPDescalvado;351370;3513702;SP;Descalvado;Região Sudeste;31056;Pequeno II;;
SPDiadema;351380;3513801;SP;Diadema;Região Sudeste;386089;Grande;;
SPDirce Reis;351385;3513850;SP;Dirce Reis;Região Sudeste;1689;Pequeno I;;
SPDivinolândia;351390;3513900;SP;Divinolândia;Região Sudeste;11208;Pequeno I;;
SPDobrada;351400;3514007;SP;Dobrada;Região Sudeste;7939;Pequeno I;;
SPDois Córregos;351410;3514106;SP;Dois Córregos;Região Sudeste;24761;Pequeno II;;
SPDolcinópolis;351420;3514205;SP;Dolcinópolis;Região Sudeste;2096;Pequeno I;;
SPDourado;351430;3514304;SP;Dourado;Região Sudeste;8609;Pequeno I;;
SPDracena;351440;3514403;SP;Dracena;Região Sudeste;43258;Pequeno II;;
SPDuartina;351450;3514502;SP;Duartina;Região Sudeste;12251;Pequeno I;;
SPDumont;351460;3514601;SP;Dumont;Região Sudeste;8143;Pequeno I;;
SPEchaporã;351470;3514700;SP;Echaporã;Região Sudeste;6318;Pequeno I;;
SPEldorado;351480;3514809;SP;Eldorado;Região Sudeste;14641;Pequeno I;;
SPElias Fausto;351490;3514908;SP;Elias Fausto;Região Sudeste;15775;Pequeno I;;
SPElisiário;351492;3514924;SP;Elisiário;Região Sudeste;3120;Pequeno I;;
SPEmbaúba;351495;3514957;SP;Embaúba;Região Sudeste;2423;Pequeno I;;
SPEmbu;351500;3515004;SP;Embu;Região Sudeste;240230;Grande;;
SPEmbu-guaçu;351510;3515103;SP;Embu-guaçu;Região Sudeste;62769;Médio;;
SPEmilianópolis;351512;3515129;SP;Emilianópolis;Região Sudeste;3020;Pequeno I;;
SPEngenheiro Coelho;351515;3515152;SP;Engenheiro Coelho;Região Sudeste;15721;Pequeno I;;
SPEspírito Santo do Pinhal;351518;3515186;SP;Espírito Santo do Pinhal;Região Sudeste;41907;Pequeno II;;
SPEspírito Santo do Turvo;351519;3515194;SP;Espírito Santo do Turvo;Região Sudeste;4244;Pequeno I;;
SPEstrela D'oeste;351520;3515202;SP;Estrela D´oeste;Região Sudeste;8208;Pequeno I;;
SPEstrela do Norte;351530;3515301;SP;Estrela do Norte;Região Sudeste;2658;Pequeno I;;
SPEuclides da Cunha Paulista;351535;3515350;SP;Euclides da Cunha Paulista;Região Sudeste;9585;Pequeno I;;
SPFartura;351540;3515400;SP;Fartura;Região Sudeste;15320;Pequeno I;;
SPFernandópolis;351550;3515509;SP;Fernandópolis;Região Sudeste;64696;Médio;;
SPFernando Prestes;351560;3515608;SP;Fernando Prestes;Região Sudeste;5534;Pequeno I;;
SPFernão;351565;3515657;SP;Fernão;Região Sudeste;1563;Pequeno I;;
SPFerraz de Vasconcelos;351570;3515707;SP;Ferraz de Vasconcelos;Região Sudeste;168306;Grande;;
SPFlora Rica;351580;3515806;SP;Flora Rica;Região Sudeste;1752;Pequeno I;;
SPFloreal;351590;3515905;SP;Floreal;Região Sudeste;3003;Pequeno I;;
SPFlórida Paulista;351600;3516002;SP;Flórida Paulista;Região Sudeste;12848;Pequeno I;;
SPFlorínia;351610;3516101;SP;Florínia;Região Sudeste;2829;Pequeno I;;
SPFranca;351620;3516200;SP;Franca;Região Sudeste;318640;Grande;;
SPFrancisco Morato;351630;3516309;SP;Francisco Morato;Região Sudeste;154472;Grande;;
SPFranco da Rocha;351640;3516408;SP;Franco da Rocha;Região Sudeste;131604;Grande;;
SPGabriel Monteiro;351650;3516507;SP;Gabriel Monteiro;Região Sudeste;2708;Pequeno I;;
SPGália;351660;3516606;SP;Gália;Região Sudeste;7011;Pequeno I;;
SPGarça;351670;3516705;SP;Garça;Região Sudeste;43115;Pequeno II;;
SPGastão Vidigal;351680;3516804;SP;Gastão Vidigal;Região Sudeste;4193;Pequeno I;;
SPGavião Peixoto;351685;3516853;SP;Gavião Peixoto;Região Sudeste;4419;Pequeno I;;
SPGeneral Salgado;351690;3516903;SP;General Salgado;Região Sudeste;10669;Pequeno I;;
SPGetulina;351700;3517000;SP;Getulina;Região Sudeste;10765;Pequeno I;;
SPGlicério;351710;3517109;SP;Glicério;Região Sudeste;4565;Pequeno I;;
SPGuaiçara;351720;3517208;SP;Guaiçara;Região Sudeste;10670;Pequeno I;;
SPGuaimbê;351730;3517307;SP;Guaimbê;Região Sudeste;5425;Pequeno I;;
SPGuaíra;351740;3517406;SP;Guaíra;Região Sudeste;37404;Pequeno II;;
SPGuapiaçu;351750;3517505;SP;Guapiaçu;Região Sudeste;17869;Pequeno I;;
SPGuapiara;351760;3517604;SP;Guapiara;Região Sudeste;17998;Pequeno I;;
SPGuará;351770;3517703;SP;Guará;Região Sudeste;19858;Pequeno I;;
SPGuaraçaí;351780;3517802;SP;Guaraçaí;Região Sudeste;8435;Pequeno I;;
SPGuaraci;351790;3517901;SP;Guaraci;Região Sudeste;9976;Pequeno I;;
SPGuarani D'oeste;351800;3518008;SP;Guarani D´oeste;Região Sudeste;1970;Pequeno I;;
SPGuarantã;351810;3518107;SP;Guarantã;Região Sudeste;6404;Pequeno I;;
SPGuararapes;351820;3518206;SP;Guararapes;Região Sudeste;30597;Pequeno II;;
SPGuararema;351830;3518305;SP;Guararema;Região Sudeste;25844;Pequeno II;;
SPGuaratinguetá;351840;3518404;SP;Guaratinguetá;Região Sudeste;112072;Grande;;
SPGuareí;351850;3518503;SP;Guareí;Região Sudeste;14565;Pequeno I;;
SPGuariba;351860;3518602;SP;Guariba;Região Sudeste;35486;Pequeno II;;
SPGuarujá;351870;3518701;SP;Guarujá;Região Sudeste;290752;Grande;;
SPGuarulhos;351880;3518800;SP;Guarulhos;Região Sudeste;1221979;Metrópole;;
SPGuatapará;351885;3518859;SP;Guatapará;Região Sudeste;6966;Pequeno I;;
SPGuzolândia;351890;3518909;SP;Guzolândia;Região Sudeste;4754;Pequeno I;;
SPHerculândia;351900;3519006;SP;Herculândia;Região Sudeste;8696;Pequeno I;;
SPHolambra;351905;3519055;SP;Holambra;Região Sudeste;11299;Pequeno I;;
SPHortolândia;351907;3519071;SP;Hortolândia;Região Sudeste;192692;Grande;;
SPIacanga;351910;3519105;SP;Iacanga;Região Sudeste;10013;Pequeno I;;
SPIacri;351920;3519204;SP;Iacri;Região Sudeste;6419;Pequeno I;;
SPIaras;351925;3519253;SP;Iaras;Região Sudeste;6376;Pequeno I;;
SPIbaté;351930;3519303;SP;Ibaté;Região Sudeste;30734;Pequeno II;;
SPIbirá;351940;3519402;SP;Ibirá;Região Sudeste;10896;Pequeno I;;
SPIbirarema;351950;3519501;SP;Ibirarema;Região Sudeste;6725;Pequeno I;;
SPIbitinga;351960;3519600;SP;Ibitinga;Região Sudeste;53158;Médio;;
SPIbiúna;351970;3519709;SP;Ibiúna;Região Sudeste;71217;Médio;;
SPIcém;351980;3519808;SP;Icém;Região Sudeste;7462;Pequeno I;;
SPIepê;351990;3519907;SP;Iepê;Região Sudeste;7628;Pequeno I;;
SPIgaraçu do Tietê;352000;3520004;SP;Igaraçu do Tietê;Região Sudeste;23362;Pequeno II;;
SPIgarapava;352010;3520103;SP;Igarapava;Região Sudeste;27952;Pequeno II;;
SPIgaratá;352020;3520202;SP;Igaratá;Região Sudeste;8831;Pequeno I;;
SPIguape;352030;3520301;SP;Iguape;Região Sudeste;28841;Pequeno II;;
SPIlhabela;352040;3520400;SP;Ilhabela;Região Sudeste;28196;Pequeno II;;
SPIlha Comprida;352042;3520426;SP;Ilha Comprida;Região Sudeste;9025;Pequeno I;;
SPIlha Solteira;352044;3520442;SP;Ilha Solteira;Região Sudeste;25064;Pequeno II;;
SPIndaiatuba;352050;3520509;SP;Indaiatuba;Região Sudeste;201619;Grande;;
SPIndiana;352060;3520608;SP;Indiana;Região Sudeste;4825;Pequeno I;;
SPIndiaporã;352070;3520707;SP;Indiaporã;Região Sudeste;3903;Pequeno I;;
SPInúbia Paulista;352080;3520806;SP;Inúbia Paulista;Região Sudeste;3630;Pequeno I;;
SPIpaussu;352090;3520905;SP;Ipaussu;Região Sudeste;13663;Pequeno I;;
SPIperó;352100;3521002;SP;Iperó;Região Sudeste;28300;Pequeno II;;
SPIpeúna;352110;3521101;SP;Ipeúna;Região Sudeste;6016;Pequeno I;;
SPIpiguá;352115;3521150;SP;Ipiguá;Região Sudeste;4463;Pequeno I;;
SPIporanga;352120;3521200;SP;Iporanga;Região Sudeste;4299;Pequeno I;;
SPIpuã;352130;3521309;SP;Ipuã;Região Sudeste;14148;Pequeno I;;
SPIracemápolis;352140;3521408;SP;Iracemápolis;Região Sudeste;20029;Pequeno II;;
SPIrapuã;352150;3521507;SP;Irapuã;Região Sudeste;7275;Pequeno I;;
SPIrapuru;352160;3521606;SP;Irapuru;Região Sudeste;7789;Pequeno I;;
SPItaberá;352170;3521705;SP;Itaberá;Região Sudeste;17858;Pequeno I;;
SPItaí;352180;3521804;SP;Itaí;Região Sudeste;24008;Pequeno II;;
SPItajobi;352190;3521903;SP;Itajobi;Região Sudeste;14556;Pequeno I;;
SPItaju;352200;3522000;SP;Itaju;Região Sudeste;3246;Pequeno I;;
SPItanhaém;352210;3522109;SP;Itanhaém;Região Sudeste;87057;Médio;;
SPItaóca;352215;3522158;SP;Itaóca;Região Sudeste;3228;Pequeno I;;
SPItapecerica da Serra;352220;3522208;SP;Itapecerica da Serra;Região Sudeste;152614;Grande;;
SPItapetininga;352230;3522307;SP;Itapetininga;Região Sudeste;144377;Grande;;
SPItapeva;352240;3522406;SP;Itapeva;Região Sudeste;87753;Médio;;
SPItapevi;352250;3522505;SP;Itapevi;Região Sudeste;200769;Grande;;
SPItapira;352260;3522604;SP;Itapira;Região Sudeste;68537;Médio;;
SPItapirapuã Paulista;352265;3522653;SP;Itapirapuã Paulista;Região Sudeste;3880;Pequeno I;;
SPItápolis;352270;3522703;SP;Itápolis;Região Sudeste;40051;Pequeno II;;
SPItaporanga;352280;3522802;SP;Itaporanga;Região Sudeste;14549;Pequeno I;;
SPItapuí;352290;3522901;SP;Itapuí;Região Sudeste;12173;Pequeno I;;
SPItapura;352300;3523008;SP;Itapura;Região Sudeste;4357;Pequeno I;;
